Document Id,Company Code,Document Number,Fiscal Year,Document Status,Exception Reason,Document type,DP Document Type,Credit Memo,Reference,Vendor,Total Amt in Doc Curr,Doc Currency,Amt in Report Currency,Re. Currency,Posting date,Due Date,Related Object Key,Days to Due,Overdue,Requisitioner Name,Vendor Name,Purchasing Document,Plant,Purchasing Group,Cycle Time,Document Date,Exception Date,Enter on,Enter at,Start on,Start at,End on,End at,Update Date,Update Time,Reversal Doc#,Revsed F_Year,Old Doc Num,Old Company Code,Old Fiscal Year,Creation Date,Creation Time,End on2,End at3,Doc Currency4,Process Type,Rescan Reason,Delete Reason,Target System,Rescan Reason Code,Obsoleter Reason Code,IDoc number,User Mapping Object ID,DP ID before restart,Days Past Due,Days to Due5,Processor ID,Current Invoice,Aged 1-30 Days,Aged 31-45 Days,Aged 46-60 Days,Aged 61-90 Days,Aged 90+ Days,Current Agent Email,Valid
0,,1401001,,,,,,,,2049,3.33,,,,08/11/2013,,,,,,Example Company 1,0000050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,79196,,,,,,,,1432,559.33,,,,10/22/2010,,,,,,WESTERN PACKAGING,0000050001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,6591622,,,,,,,,1432,2632.33,,,,09/23/2010,,,,,,WESTERN PACKAGING,0000050002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,7456908,,,,,,,,2342,188.67,,,,04/26/2011,,,,,,The Walter Co,0000050003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8274810,,,,,,,,7732,2362.33,,,,04/25/2019,,,,,,Digital Supply Co,0000050004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1648286,,,,,,,,1432,1428.67,,,,06/03/2016,,,,,,WESTERN PACKAGING,0000050005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,7527945,,,,,,,,7732,917.00,,,,04/06/2018,,,,,,Digital Supply Co,0000050006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,8931740,,,,,,,,4500,299.00,,,,02/11/2016,,,,,,PARTS HOUSE LLC.,0000050007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,6691115,,,,,,,,9153,2275.67,,,,10/04/2016,,,,,,Water Supply INC,0000050008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,2407684,,,,,,,,1432,300.67,,,,07/16/2015,,,,,,WESTERN PACKAGING,0000050009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,1133472,,,,,,,,1432,24.67,,,,11/20/2012,,,,,,WESTERN PACKAGING,0000050010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,8470579,,,,,,,,2122,462.33,,,,01/01/2017,,,,,,WE SPRAY PESTICIDE CO.,0000050011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,9300304,,,,,,,,9834,481.33,,,,10/18/2019,,,,,,Supply All INC,0000050012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,4815109,,,,,,,,1432,587.67,,,,02/02/2013,,,,,,WESTERN PACKAGING,0000050013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,3845051,,,,,,,,1432,888.00,,,,08/11/2019,,,,,,WESTERN PACKAGING,0000050014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,9126433,,,,,,,,7732,496.33,,,,06/03/2010,,,,,,Digital Supply Co,0000050015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
